asset_id,department,section_id,division,asset_type,defect_type,defect_severity,days_overdue,due_date,estimated_block_duration_hours,repeat_defect_count,sla_flag,asset_criticality_class,safety_risk_flag,priority_score
OHE-SEC-07-0001,Traction Distribution,SEC-07,Firozpur,Insulator,OHE Wire Wear,Major,-2,2026-08-31,2.8,2,False,Trunk Route,True,54.7
OHE-SEC-01-0002,Traction Distribution,SEC-01,Ambala,Traction Substation,Dropper Defect,Critical,23,2026-08-06,4.3,0,True,Branch Line,False,60.3
OHE-SEC-06-0003,Traction Distribution,SEC-06,Moradabad,Traction Substation,OHE Wire Wear,Major,4,2026-08-25,1.8,1,False,Trunk Route,False,34.0
OHE-SEC-05-0004,Traction Distribution,SEC-05,Moradabad,Dropper,OHE Wire Wear,Minor,5,2026-08-24,0.7,0,True,Branch Line,False,25.8
OHE-SEC-08-0005,Traction Distribution,SEC-08,Firozpur,OHE Wire,Traction Substation Fault,Major,-1,2026-08-30,1.5,0,False,Trunk Route,True,48.0
OHE-SEC-07-0006,Traction Distribution,SEC-07,Firozpur,Dropper,Traction Substation Fault,Minor,7,2026-08-22,1.6,1,False,Branch Line,False,20.5
OHE-SEC-08-0007,Traction Distribution,SEC-08,Firozpur,Earthing System,Traction Substation Fault,Minor,-8,2026-09-06,1.3,0,False,Branch Line,False,12.5
OHE-SEC-01-0008,Traction Distribution,SEC-01,Ambala,Feeder,Tension Length Deviation,Major,-5,2026-09-03,1.0,0,False,Branch Line,False,23.0
OHE-SEC-04-0009,Traction Distribution,SEC-04,Delhi,Earthing System,OHE Wire Wear,Major,-2,2026-08-31,1.9,0,False,Trunk Route,False,28.0
OHE-SEC-08-0010,Traction Distribution,SEC-08,Firozpur,Traction Substation,Traction Substation Fault,Critical,21,2026-08-08,2.5,1,True,Trunk Route,True,87.3
OHE-SEC-05-0011,Traction Distribution,SEC-05,Moradabad,Traction Substation,Traction Substation Fault,Minor,-13,2026-09-11,0.6,3,False,Branch Line,True,42.5
OHE-SEC-04-0012,Traction Distribution,SEC-04,Delhi,Traction Substation,Earthing Fault,Minor,-14,2026-09-12,2.0,0,False,Branch Line,False,12.5
OHE-SEC-06-0013,Traction Distribution,SEC-06,Moradabad,Traction Substation,Dropper Defect,Major,4,2026-08-25,2.2,0,False,Branch Line,False,25.7
OHE-SEC-02-0014,Traction Distribution,SEC-02,Ambala,Dropper,Traction Substation Fault,Major,-1,2026-08-30,1.3,0,False,Trunk Route,False,28.0
OHE-SEC-06-0015,Traction Distribution,SEC-06,Moradabad,Traction Substation,Earthing Fault,Minor,3,2026-08-26,0.6,0,False,Branch Line,False,14.5
OHE-SEC-06-0016,Traction Distribution,SEC-06,Moradabad,Switching Post,Insulator Damage,Major,12,2026-08-17,2.8,3,False,Branch Line,False,41.0
OHE-SEC-08-0017,Traction Distribution,SEC-08,Firozpur,Feeder,Dropper Defect,Major,14,2026-08-15,1.6,3,False,Trunk Route,True,67.3
OHE-SEC-03-0018,Traction Distribution,SEC-03,Delhi,Switching Post,Traction Substation Fault,Minor,-3,2026-09-01,0.6,2,False,Branch Line,False,19.2
OHE-SEC-08-0019,Traction Distribution,SEC-08,Firozpur,OHE Wire,Tension Length Deviation,Major,-1,2026-08-30,1.4,1,False,Trunk Route,False,31.3
OHE-SEC-04-0020,Traction Distribution,SEC-04,Delhi,Traction Substation,Tension Length Deviation,Minor,2,2026-08-27,0.7,0,True,Trunk Route,True,48.8
OHE-SEC-01-0021,Traction Distribution,SEC-01,Ambala,Switching Post,OHE Wire Wear,Minor,-11,2026-09-09,1.0,1,False,Trunk Route,False,20.8
OHE-SEC-06-0022,Traction Distribution,SEC-06,Moradabad,Earthing System,Insulator Damage,Major,15,2026-08-14,3.3,0,True,Branch Line,False,43.0
OHE-SEC-02-0023,Traction Distribution,SEC-02,Ambala,Dropper,Traction Substation Fault,Critical,6,2026-08-23,2.5,0,True,Trunk Route,True,74.0
OHE-SEC-05-0024,Traction Distribution,SEC-05,Moradabad,Earthing System,Dropper Defect,Minor,-8,2026-09-06,1.7,2,False,Trunk Route,False,24.2
OHE-SEC-03-0025,Traction Distribution,SEC-03,Delhi,Earthing System,Feeder Fault,Minor,-10,2026-09-08,0.8,0,False,Branch Line,False,12.5
OHE-SEC-08-0026,Traction Distribution,SEC-08,Firozpur,Feeder,Earthing Fault,Major,9,2026-08-20,1.9,1,False,Branch Line,True,52.3
