asset_id,department,section_id,division,asset_type,defect_type,defect_severity,days_overdue,due_date,estimated_block_duration_hours,repeat_defect_count,sla_flag,asset_criticality_class,safety_risk_flag,priority_score
SIG-SEC-01-0001,Signal & Telecom,SEC-01,Ambala,Axle Counter,Signal Aspect Failure,Major,9,2026-08-20,3.3,0,False,Trunk Route,True,54.0
SIG-SEC-07-0002,Signal & Telecom,SEC-07,Firozpur,Signal,Point Machine Failure,Minor,2,2026-08-27,1.4,1,False,Branch Line,False,17.2
SIG-SEC-02-0003,Signal & Telecom,SEC-02,Ambala,Cable,Cable Insulation Fault,Major,11,2026-08-18,1.3,0,False,Trunk Route,False,35.3
SIG-SEC-03-0004,Signal & Telecom,SEC-03,Delhi,Interlocking,Cable Insulation Fault,Major,-4,2026-09-02,1.1,0,False,Trunk Route,True,48.0
SIG-SEC-02-0005,Signal & Telecom,SEC-02,Ambala,Cable,Relay Failure,Major,13,2026-08-16,1.3,0,True,Trunk Route,False,46.7
SIG-SEC-06-0006,Signal & Telecom,SEC-06,Moradabad,Signal,Cable Insulation Fault,Major,9,2026-08-20,3.0,2,False,Trunk Route,True,60.7
SIG-SEC-06-0007,Signal & Telecom,SEC-06,Moradabad,Block Instrument,Level Crossing Gate Fault,Minor,-13,2026-09-11,1.5,1,False,Trunk Route,False,20.8
SIG-SEC-07-0008,Signal & Telecom,SEC-07,Firozpur,Point Machine,Point Machine Failure,Critical,21,2026-08-08,5.9,1,True,Branch Line,True,82.3
SIG-SEC-03-0009,Signal & Telecom,SEC-03,Delhi,Point Machine,Signal Aspect Failure,Minor,7,2026-08-22,1.0,0,False,Branch Line,False,17.2
SIG-SEC-02-0010,Signal & Telecom,SEC-02,Ambala,Block Instrument,Level Crossing Gate Fault,Minor,-12,2026-09-10,2.0,1,False,Trunk Route,False,20.8
SIG-SEC-02-0011,Signal & Telecom,SEC-02,Ambala,Axle Counter,Point Machine Failure,Minor,9,2026-08-20,1.2,0,False,Branch Line,False,18.5
SIG-SEC-01-0012,Signal & Telecom,SEC-01,Ambala,Interlocking,Block Instrument Fault,Critical,23,2026-08-06,2.8,2,True,Branch Line,True,87.0
SIG-SEC-06-0013,Signal & Telecom,SEC-06,Moradabad,Signal,Axle Counter Fault,Major,12,2026-08-17,1.2,0,False,Trunk Route,True,56.0
SIG-SEC-05-0014,Signal & Telecom,SEC-05,Moradabad,Axle Counter,Signal Aspect Failure,Major,1,2026-08-28,1.6,0,False,Branch Line,False,23.7
SIG-SEC-02-0015,Signal & Telecom,SEC-02,Ambala,Cable,Level Crossing Gate Fault,Critical,21,2026-08-08,4.2,2,True,Trunk Route,True,90.7
SIG-SEC-05-0016,Signal & Telecom,SEC-05,Moradabad,Point Machine,Point Machine Failure,Major,7,2026-08-22,2.3,0,True,Trunk Route,True,62.7
SIG-SEC-07-0017,Signal & Telecom,SEC-07,Firozpur,Interlocking,Interlocking Fault,Major,-5,2026-09-03,2.3,0,False,Trunk Route,True,48.0
SIG-SEC-03-0018,Signal & Telecom,SEC-03,Delhi,Interlocking,Point Machine Failure,Minor,-14,2026-09-12,0.8,0,False,Branch Line,False,12.5
SIG-SEC-08-0019,Signal & Telecom,SEC-08,Firozpur,Level Crossing Gate,Interlocking Fault,Minor,-8,2026-09-06,0.7,0,False,Trunk Route,True,37.5
SIG-SEC-05-0020,Signal & Telecom,SEC-05,Moradabad,Block Instrument,Relay Failure,Minor,8,2026-08-21,1.2,2,False,Branch Line,False,24.5
SIG-SEC-07-0021,Signal & Telecom,SEC-07,Firozpur,Signal,Point Machine Failure,Minor,3,2026-08-26,1.3,2,False,Trunk Route,False,26.2
SIG-SEC-02-0022,Signal & Telecom,SEC-02,Ambala,Level Crossing Gate,Signal Aspect Failure,Minor,-8,2026-09-06,1.8,3,False,Trunk Route,False,27.5
SIG-SEC-05-0023,Signal & Telecom,SEC-05,Moradabad,Axle Counter,Relay Failure,Critical,15,2026-08-14,6.0,0,True,Branch Line,True,75.0
SIG-SEC-05-0024,Signal & Telecom,SEC-05,Moradabad,Axle Counter,Relay Failure,Major,5,2026-08-24,1.3,3,True,Branch Line,True,66.3
SIG-SEC-06-0025,Signal & Telecom,SEC-06,Moradabad,Axle Counter,Axle Counter Fault,Major,2,2026-08-27,3.4,0,False,Trunk Route,False,29.3
SIG-SEC-05-0026,Signal & Telecom,SEC-05,Moradabad,Point Machine,Interlocking Fault,Major,0,2026-08-29,1.1,1,False,Trunk Route,True,51.3
SIG-SEC-03-0027,Signal & Telecom,SEC-03,Delhi,Axle Counter,Block Instrument Fault,Minor,1,2026-08-28,1.5,0,False,Trunk Route,False,18.2
SIG-SEC-03-0028,Signal & Telecom,SEC-03,Delhi,Block Instrument,Block Instrument Fault,Minor,-12,2026-09-10,1.7,2,True,Branch Line,False,29.2
SIG-SEC-05-0029,Signal & Telecom,SEC-05,Moradabad,Cable,Relay Failure,Major,-2,2026-08-31,4.0,0,True,Branch Line,True,53.0
SIG-SEC-08-0030,Signal & Telecom,SEC-08,Firozpur,Signal,Cable Insulation Fault,Minor,-12,2026-09-10,1.3,0,False,Branch Line,True,32.5
SIG-SEC-02-0031,Signal & Telecom,SEC-02,Ambala,Point Machine,Level Crossing Gate Fault,Minor,7,2026-08-22,0.8,0,False,Branch Line,False,17.2
SIG-SEC-01-0032,Signal & Telecom,SEC-01,Ambala,Point Machine,Signal Aspect Failure,Critical,3,2026-08-26,3.3,1,True,Branch Line,True,70.3
SIG-SEC-06-0033,Signal & Telecom,SEC-06,Moradabad,Signal,Axle Counter Fault,Major,8,2026-08-21,3.6,0,False,Trunk Route,False,33.3
SIG-SEC-02-0034,Signal & Telecom,SEC-02,Ambala,Signal,Point Machine Failure,Minor,-8,2026-09-06,1.4,1,True,Branch Line,True,45.8
SIG-SEC-05-0035,Signal & Telecom,SEC-05,Moradabad,Interlocking,Cable Insulation Fault,Critical,18,2026-08-11,4.5,3,True,Trunk Route,True,92.0
SIG-SEC-07-0036,Signal & Telecom,SEC-07,Firozpur,Axle Counter,Block Instrument Fault,Minor,5,2026-08-24,1.7,2,False,Branch Line,False,22.5
SIG-SEC-06-0037,Signal & Telecom,SEC-06,Moradabad,Cable,Interlocking Fault,Major,1,2026-08-28,2.8,2,False,Branch Line,False,30.3
SIG-SEC-08-0038,Signal & Telecom,SEC-08,Firozpur,Axle Counter,Point Machine Failure,Critical,26,2026-08-03,4.3,1,True,Trunk Route,True,90.7
SIG-SEC-08-0039,Signal & Telecom,SEC-08,Firozpur,Point Machine,Relay Failure,Critical,28,2026-08-01,2.1,0,True,Branch Line,True,83.7
SIG-SEC-01-0040,Signal & Telecom,SEC-01,Ambala,Cable,Point Machine Failure,Major,7,2026-08-22,2.1,0,False,Trunk Route,True,52.7
SIG-SEC-02-0041,Signal & Telecom,SEC-02,Ambala,Axle Counter,Signal Aspect Failure,Minor,-13,2026-09-11,0.6,3,False,Trunk Route,False,27.5
SIG-SEC-06-0042,Signal & Telecom,SEC-06,Moradabad,Axle Counter,Point Machine Failure,Minor,-4,2026-09-02,1.4,0,False,Branch Line,False,12.5
SIG-SEC-01-0043,Signal & Telecom,SEC-01,Ambala,Axle Counter,Cable Insulation Fault,Minor,-2,2026-08-31,0.6,2,True,Branch Line,False,29.2
SIG-SEC-01-0044,Signal & Telecom,SEC-01,Ambala,Signal,Level Crossing Gate Fault,Critical,11,2026-08-18,4.6,1,True,Branch Line,True,75.7
SIG-SEC-01-0045,Signal & Telecom,SEC-01,Ambala,Interlocking,Point Machine Failure,Minor,-12,2026-09-10,0.8,1,False,Branch Line,False,15.8
